left,right,top,bottom,name
-63.210068956446776,-63.16407521389986,-0.5322191337589752,-0.5782128763058947,0 
-63.210068956446776,-63.16407521389986,-0.6242066188528143,-0.6702003613997337,1
-63.210068956446776,-63.16407521389986,-0.6702003613997337,-0.7161941039466532,2
-63.210068956446776,-63.16407521389986,-0.7161941039466533,-0.7621878464935727,3
-63.210068956446776,-63.16407521389986,-0.7564386286752078,-0.8024323712221273,4
-63.210068956446776,-63.16407521389986,-0.5782128763058947,-0.6242066188528141,5
-63.11808147135294,-63.07208772880602,-0.5322191337589752,-0.5782128763058947,6
-63.11808147135294,-63.07208772880602,-0.6242066188528143,-0.6702003613997337,7
-63.11808147135294,-63.07208772880602,-0.6702003613997337,-0.7161941039466532,8
-63.11808147135294,-63.07208772880602,-0.7161941039466533,-0.7621878464935727,9
-63.11808147135294,-63.07208772880602,-0.7564386286752078,-0.8024323712221273,10
-63.11808147135294,-63.07208772880602,-0.5782128763058947,-0.6242066188528141,11
-63.07208772880602,-63.0260939862591,-0.5322191337589752,-0.5782128763058947,12
-63.07208772880602,-63.0260939862591,-0.6242066188528143,-0.6702003613997337,13
-63.07208772880602,-63.0260939862591,-0.6702003613997337,-0.7161941039466532,14
-63.07208772880602,-63.0260939862591,-0.7161941039466533,-0.7621878464935727,15
-63.07208772880602,-63.0260939862591,-0.7564386286752078,-0.8024323712221273,16
-63.07208772880602,-63.0260939862591,-0.5782128763058947,-0.6242066188528141,17
-63.0260939862591,-62.98010024371218,-0.6242066188528143,-0.6702003613997337,18
-63.0260939862591,-62.98010024371218,-0.6702003613997337,-0.7161941039466532,19
-63.0260939862591,-62.98010024371218,-0.7161941039466533,-0.7621878464935727,20
-63.0260939862591,-62.98010024371218,-0.7564386286752078,-0.8024323712221273,21
-63.0260939862591,-62.98010024371218,-0.5782128763058947,-0.6242066188528141,22
-62.98010024371218,-62.93410650116526,-0.6242066188528143,-0.6702003613997337,23
-62.98010024371218,-62.93410650116526,-0.6702003613997337,-0.7161941039466532,24
-62.98010024371218,-62.93410650116526,-0.7161941039466533,-0.7621878464935727,25
-62.98010024371218,-62.93410650116526,-0.7564386286752078,-0.8024323712221273,26
-62.98010024371218,-62.93410650116526,-0.5782128763058947,-0.6242066188528141,27
-62.93410650116526,-62.88811275861834,-0.5322191337589752,-0.5782128763058947,28
-62.93410650116526,-62.88811275861834,-0.6242066188528143,-0.6702003613997337,29
-62.93410650116526,-62.88811275861834,-0.6702003613997337,-0.7161941039466532,30
-62.93410650116526,-62.88811275861834,-0.7161941039466533,-0.7621878464935727,31
-62.93410650116526,-62.88811275861834,-0.7564386286752078,-0.8024323712221273,32
-62.93410650116526,-62.88811275861834,-0.5782128763058947,-0.6242066188528141,33
-62.896736585345884,-62.850742842798965,-0.5322191337589752,-0.5782128763058947,34
-62.896736585345884,-62.850742842798965,-0.6242066188528143,-0.6702003613997337,35
-62.896736585345884,-62.850742842798965,-0.5782128763058947,-0.6242066188528141,36
-63.16407521389986,-63.11808147135294,-0.5322191337589752,-0.5782128763058947,37
-63.16407521389986,-63.11808147135294,-0.6242066188528143,-0.6702003613997337,38
-63.16407521389986,-63.11808147135294,-0.6702003613997337,-0.7161941039466532,39
-63.16407521389986,-63.11808147135294,-0.7161941039466533,-0.7621878464935727,40
